Source;Target;Type;id;label;timeset;weight
2;3;Undirected;0;;;1.0
5;3;Undirected;1;;;1.0
5;2;Undirected;2;;;1.0
6;7;Undirected;3;;;1.0
11;10;Undirected;4;;;1.0
12;13;Undirected;5;;;1.0
12;8;Undirected;6;;;1.0
13;8;Undirected;7;;;1.0
21;22;Undirected;8;;;1.0
31;32;Undirected;9;;;1.0
31;23;Undirected;10;;;1.0
32;23;Undirected;11;;;1.0
33;23;Undirected;12;;;1.0
35;36;Undirected;14;;;1.0
0;44;Undirected;15;;;1.0
48;5;Undirected;16;;;1.0
5;47;Undirected;17;;;1.0
58;59;Undirected;18;;;1.0
58;60;Undirected;19;;;1.0
58;61;Undirected;20;;;1.0
59;60;Undirected;21;;;1.0
59;61;Undirected;22;;;1.0
60;61;Undirected;23;;;1.0
58;62;Undirected;24;;;1.0
61;63;Undirected;25;;;1.0
65;66;Undirected;26;;;1.0
67;0;Undirected;27;;;1.0
70;71;Undirected;28;;;1.0
73;74;Undirected;29;;;1.0
0;72;Undirected;30;;;1.0
54;77;Undirected;31;;;1.0
78;79;Undirected;32;;;1.0
54;80;Undirected;33;;;1.0
0;82;Undirected;34;;;1.0
83;84;Undirected;35;;;1.0
83;85;Undirected;36;;;1.0
83;86;Undirected;37;;;1.0
84;85;Undirected;38;;;1.0
84;86;Undirected;39;;;1.0
85;86;Undirected;40;;;1.0
0;87;Undirected;41;;;1.0
0;54;Undirected;42;;;1.0
91;80;Undirected;43;;;1.0
54;92;Undirected;44;;;1.0
54;93;Undirected;45;;;1.0
92;93;Undirected;46;;;1.0
95;96;Undirected;47;;;1.0
54;17;Undirected;48;;;1.0
54;18;Undirected;49;;;1.0
0;17;Undirected;50;;;1.0
102;103;Undirected;51;;;1.0
102;54;Undirected;52;;;1.0
102;101;Undirected;53;;;1.0
102;17;Undirected;54;;;1.0
103;54;Undirected;55;;;1.0
103;101;Undirected;56;;;1.0
103;17;Undirected;57;;;1.0
17;101;Undirected;58;;;1.0
0;87;Undirected;59;;;1.0
105;17;Undirected;60;;;1.0
106;0;Undirected;61;;;1.0
107;0;Undirected;62;;;1.0
107;72;Undirected;63;;;1.0
0;72;Undirected;64;;;1.0
107;108;Undirected;65;;;1.0
107;109;Undirected;66;;;1.0
107;106;Undirected;67;;;1.0
108;109;Undirected;68;;;1.0
108;106;Undirected;69;;;1.0
107;110;Undirected;70;;;1.0
108;110;Undirected;71;;;1.0
109;110;Undirected;72;;;1.0
106;110;Undirected;73;;;1.0
107;0;Undirected;74;;;1.0
107;54;Undirected;75;;;1.0
111;112;Undirected;77;;;1.0
111;113;Undirected;78;;;1.0
111;114;Undirected;79;;;1.0
112;113;Undirected;80;;;1.0
112;114;Undirected;81;;;1.0
113;114;Undirected;82;;;1.0
117;0;Undirected;83;;;1.0
121;122;Undirected;84;;;1.0
54;117;Undirected;85;;;1.0
0;117;Undirected;86;;;1.0
54;81;Undirected;87;;;1.0
54;17;Undirected;88;;;1.0
130;0;Undirected;89;;;1.0
130;54;Undirected;90;;;1.0
134;135;Undirected;91;;;1.0
134;136;Undirected;92;;;1.0
134;137;Undirected;93;;;1.0
135;136;Undirected;94;;;1.0
135;137;Undirected;95;;;1.0
136;137;Undirected;96;;;1.0
140;141;Undirected;97;;;1.0
0;142;Undirected;98;;;1.0
143;144;Undirected;99;;;1.0
146;54;Undirected;100;;;1.0
54;148;Undirected;101;;;1.0
0;151;Undirected;102;;;1.0
152;153;Undirected;103;;;1.0
148;142;Undirected;104;;;1.0
154;98;Undirected;105;;;1.0
155;0;Undirected;106;;;1.0
155;115;Undirected;107;;;1.0
0;115;Undirected;108;;;1.0
157;158;Undirected;109;;;1.0
157;159;Undirected;110;;;1.0
158;159;Undirected;111;;;1.0
54;146;Undirected;112;;;1.0
0;164;Undirected;113;;;1.0
54;167;Undirected;114;;;1.0
148;167;Undirected;115;;;1.0
142;167;Undirected;116;;;1.0