tweet_id;hashtag_id
12;0
32;1
41;2
41;3
48;2
52;4
61;5
61;3
62;5
62;2
67;6
69;2
81;6
81;7
84;7
95;2
114;2
130;6
151;8
161;9
161;6
206;2
223;2
242;10
242;11
304;0
305;0
311;5
462;12
462;13
462;8
463;14
509;2
521;15
561;5
614;16
677;3
694;2
697;17
715;3
781;18
791;0
811;3
834;19
871;3
906;20
908;20
909;20
947;5
979;21
979;22
1005;23
1017;24
1017;25
1021;8
1106;2
1111;26
1113;3
1175;8
1205;27
1223;17
1252;20
1266;20
1269;28
1270;29
1350;30
1467;31
1467;32
1467;23
1468;33
1468;23
1476;23
1496;34
1536;2
1545;8
1556;35
1556;36
1558;2
1562;17
1614;3
1615;2
1655;10
1661;2
1671;2
1673;2
1674;3
1700;37
1754;38
1886;39
1890;2
1906;39
2002;10
2007;40
2014;41
2048;42
2099;39
2114;16
2115;2
2185;43
2309;10
2374;44
2374;0
2382;45
2391;46
2402;47
2406;48
2406;5
2417;49
2422;47
2430;5
2430;47
2500;47
2560;50
2619;3
2660;51
2664;3
2672;3
2711;52
2728;53
2779;54
2786;5
2882;5
2907;55
2911;5
2915;5
2918;56
2920;5
2989;54
3040;2
3125;57
3140;58
3140;59
3140;60
3140;61
3142;58
3142;62
3147;63
3147;61
3148;60
3156;64
3252;5
3257;5
3258;5
3261;5
3265;54
3271;15
3308;65
3308;66
3313;54
3413;5
3417;17
3432;54
3499;54
3596;67
3596;0
3613;17
3620;68
3641;54
3657;54
3680;69
3686;70
3686;71
3698;72
3784;72
3792;54
3832;0
3836;0
3888;2
3920;54
3923;31
3924;73
3924;74
3930;31
3988;0
4041;75
4074;54
4133;76
4152;54
4154;54
4159;54
4161;54
4171;0
4171;72
4172;0
4172;72
4183;54
4183;77
4207;78
4207;79
4251;17
4262;0
4309;0
4326;80
4328;54
4328;80
4332;80
4333;80
4335;81
4336;82
4343;82
4343;0
4345;54
4348;0
4368;82
4385;2
4497;80
4516;54
4518;83
4518;84
4518;85
4518;86
4523;81
4524;80
4545;79
4555;0
4555;87
4556;72
4558;72
4567;72
4568;0
4575;72
4583;88
4592;89
4600;0
4629;54
4632;54
4632;0
4637;90
4640;91
4640;80
4641;54
4641;92
4641;93
4645;80
4646;54
4646;92
4649;94
4650;93
4694;54
4695;87
4697;0
4699;95
4699;96
4709;54
4713;72
4714;54
4719;97
4722;54
4723;0
4724;98
4725;72
4726;99
4727;17
4744;54
4744;17
4759;54
4772;0
4784;54
4784;18
4786;0
4786;17
4792;54
4794;100
4798;100
4801;101
4802;54
4803;54
4804;72
4805;54
4807;101
4808;54
4815;102
4815;103
4815;54
4815;101
4815;17
4819;69
4827;54
4833;0
4834;100
4839;54
4840;54
4841;72
4868;0
4913;104
4925;0
4925;87
4929;105
4929;17
4934;106
4934;0
4934;72
4935;107
4935;0
4935;72
4936;107
4936;108
4936;109
4936;106
4936;110
4955;107
4955;0
4955;54
4956;0
4959;54
4960;0
4962;54
4965;111
4965;112
4965;113
4965;114
4970;115
4972;116
4975;54
4979;0
4987;54
4988;0
4999;72
5033;0
5033;54
5034;117
5034;0
5036;0
5036;54
5037;54
5037;0
5053;80
5054;117
5065;54
5071;54
5071;0
5085;118
5091;54
5092;54
5099;54
5101;72
5111;0
5116;54
5120;54
5127;119
5167;120
5168;120
5171;0
5177;0
5177;54
5179;0
5185;72
5186;81
5188;72
5191;54
5195;72
5199;72
5201;17
5216;118
5222;121
5222;122
5234;117
5235;117
5236;117
5237;117
5238;117
5239;117
5240;54
5241;0
5242;54
5242;0
5242;117
5244;0
5248;123
5250;117
5251;117
5252;54
5252;81
5258;72
5259;72
5261;72
5285;54
5285;17
5288;0
5303;54
5308;0
5310;54
5326;117
5326;0
5330;0
5332;72
5336;72
5343;0
5369;0
5376;124
5382;125
5390;126
5391;124
5392;127
5402;128
5403;54
5410;125
5419;54
5422;129
5441;0
5445;80
5453;0
5458;130
5458;0
5461;54
5462;131
5464;54
5465;54
5477;130
5477;54
5478;54
5479;54
5486;54
5494;132
5495;54
5497;133
5505;130
5530;134
5530;135
5530;136
5530;137
5543;0
5567;54
5571;0
5580;138
5591;139
5596;140
5596;141
5598;0
5598;142
5606;140
5606;141
5608;141
5614;140
5618;143
5618;144
5619;140
5622;145
5642;17
5648;140
5651;0
5668;142
5668;141
5670;146
5670;54
5682;147
5683;142
5696;54
5714;148
5730;149
5737;150
5744;54
5744;148
5747;54
5748;72
5757;0
5757;151
5770;152
5770;153
5790;90
5797;0
5799;54
5802;148
5807;0
5809;54
5827;54
5837;148
5837;142
5837;54
5840;154
5840;98
5841;54
5841;0
5844;0
5848;155
5848;0
5848;115
5849;0
5849;54
5857;54
5858;148
5874;0
5883;80
5887;156
5901;72
5902;54
5909;157
5909;158
5909;159
5910;160
5913;161
5914;80
5922;148
5922;0
5922;54
5933;162
5937;54
5939;54
5939;146
5944;163
5949;0
5949;164
5957;54
5963;165
5984;72
6015;54
6017;166
6020;0
6020;72
6023;54
6023;148
6023;142
6023;167
6031;142
6045;54
6048;54
6052;54
6077;0
6077;54
6084;168
6112;169